threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.785,12,0.0374,0.9221,0.9184,0.9146
0.7855,12,0.0374,0.9221,0.9184,0.9146
0.786,13,0.0405,0.9252,0.9212,0.9171
0.7865,13,0.0405,0.9252,0.9212,0.9171
0.787,13,0.0405,0.9252,0.9212,0.9171
0.7875,13,0.0405,0.9252,0.9212,0.9171
0.788,13,0.0405,0.9252,0.9212,0.9171
0.7885,13,0.0405,0.9252,0.9212,0.9171
0.789,13,0.0405,0.9252,0.9212,0.9171
0.7895,13,0.0405,0.9252,0.9212,0.9171
0.79,13,0.0405,0.9252,0.9212,0.9171
0.7905,13,0.0405,0.9252,0.9212,0.9171
0.791,13,0.0405,0.9252,0.9212,0.9171
0.7915,13,0.0405,0.9252,0.9212,0.9171
0.792,13,0.0405,0.9252,0.9212,0.9171
0.7925,13,0.0405,0.9252,0.9212,0.9171
0.793,13,0.0405,0.9252,0.9212,0.9171
0.7935,13,0.0405,0.9252,0.9212,0.9171
0.794,14,0.0436,0.9252,0.9209,0.9165
0.7945,14,0.0436,0.9252,0.9209,0.9165
0.795,14,0.0436,0.9252,0.9209,0.9165
0.7955,14,0.0436,0.9252,0.9209,0.9165
0.796,14,0.0436,0.9252,0.9209,0.9165
0.7965,14,0.0436,0.9252,0.9209,0.9165
0.797,14,0.0436,0.9252,0.9209,0.9165
0.7975,14,0.0436,0.9252,0.9209,0.9165
0.798,14,0.0436,0.9252,0.9209,0.9165
0.7985,14,0.0436,0.9252,0.9209,0.9165
0.799,14,0.0436,0.9252,0.9209,0.9165
0.7995,14,0.0436,0.9252,0.9209,0.9165
0.8,14,0.0436,0.9252,0.9209,0.9165
0.8005,14,0.0436,0.9252,0.9209,0.9165
0.801,14,0.0436,0.9252,0.9209,0.9165
0.8015,15,0.0467,0.9283,0.9237,0.919
0.802,15,0.0467,0.9283,0.9237,0.919
0.8025,15,0.0467,0.9283,0.9237,0.919
0.803,15,0.0467,0.9283,0.9237,0.919
